Type noeud	Nom noeud	Type pere	Nom pere
_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION	_	2 - COMPTES D'IMMOBILISATIONS
_	221 - Terrains	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2211 - Terrains nus	_	221 - Terrains
_	2213 - Terrains aménagés autres que voirie	_	221 - Terrains
_	2214 - Terrains de gisement	_	221 - Terrains
_	2215 - Terrains bâtis	_	221 - Terrains
_	2218 - Autres terrains	_	221 - Terrains
_	222 - Agencements et aménagements de terrains	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2221 - Plantations d'arbres et d'arbustes	_	222 - Agencements et aménagements de terrains
_	2228 - Autres agencements et aménagements de terrains 	_	222 - Agencements et aménagements de terrains
_	223 - Constructions	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2231 - Bâtiments publics	_	223 - Constructions
_	2232 - Immeubles de rapport	_	223 - Constructions
_	2235 - Installations générales, agencements, aménagements des constructions	_	223 - Constructions
_	2238 - Autres constructions	_	223 - Constructions
_	224 - Constructions sur sol d'autrui	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2241 - Constructions sur sol d'autrui - Bâtiments publics	_	224 - Constructions sur sol d'autrui
_	2242 - Constructions sur sol d'autrui - Immeubles de rapport	_	224 - Constructions sur sol d'autrui
_	2245 - Constructions sur sol d'autrui - Installations générales, agencements, aménagements	_	224 - Constructions sur sol d'autrui
_	2248 - Constructions sur sol d'autrui - Autres constructions	_	224 - Constructions sur sol d'autrui
_	225 - Installations, matériel et outillage techniques	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2253 - Réseaux divers	_	225 - Installations, matériel et outillage techniques
_	22533 - Réseaux câblés	_	2253 - Réseaux divers
_	22534 - Réseaux d'électrification	_	2253 - Réseaux divers
_	22538 - Autres réseaux	_	2253 - Réseaux divers
_	2256 - Matériel et outillage d'incendie et de défense civile	_	225 - Installations, matériel et outillage techniques
_	2257 - Matériel et outillage de voirie	_	225 - Installations, matériel et outillage techniques
_	2258 - Autres installations, matériel et outillage techniques 	_	225 - Installations, matériel et outillage techniques
_	226 - Collections et oeuvres d'art	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2261 - Oeuvres et objets d'art	_	226 - Collections et oeuvres d'art
_	2262 - Fonds anciens des bibliothèques et musées	_	226 - Collections et oeuvres d'art
_	2268 - Autres collections et oeuvres d'art	_	226 - Collections et oeuvres d'art
_	228 - Autres immobilisations corporelles	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2281 - Installations générales, agencements et aménagements divers	_	228 - Autres immobilisations corporelles
_	2282 - Matériel de transport	_	228 - Autres immobilisations corporelles
_	2283 - Matériel de bureau et matériel informatique	_	228 - Autres immobilisations corporelles
_	2284 - Mobilier	_	228 - Autres immobilisations corporelles
_	2285 - Cheptel	_	228 - Autres immobilisations corporelles
_	2288 - Autres immobilisations corporelles	_	228 - Autres immobilisations corporelles
_	229 - Droits de l'affectant	_	22 - IMMOBILISATIONS REÇUES EN AFFECTATION
_	2291 - Commune	_	229 - Droits de l'affectant
_	2293 - Établissements Publics de Coopération Intercommunale	_	229 - Droits de l'affectant
_	2298 - Autres droits de l'affectant 	_	229 - Droits de l'affectant
_	23 - IMMOBILISATIONS EN COURS	_	2 - COMPTES D'IMMOBILISATIONS
_	231 - Immobilisations corporelles en cours	_	23 - IMMOBILISATIONS EN COURS
_	2312 - Agencements et aménagements de terrains	_	231 - Immobilisations corporelles en cours
_	2313 - Constructions	_	231 - Immobilisations corporelles en cours
_	2314 - Constructions sur sol d'autrui	_	231 - Immobilisations corporelles en cours
_	2315 - Installations, matériel et outillage techniques	_	231 - Immobilisations corporelles en cours
_	2316 - Restauration des collections et oeuvres d'art	_	231 - Immobilisations corporelles en cours
_	2317 - Immobilisations corporelles reçues au titre d'une mise à disposition	_	231 - Immobilisations corporelles en cours
_	2318 - Autres immobilisations corporelles en cours	_	231 - Immobilisations corporelles en cours
_	232 - Immobilisations incorporelles en cours	_	23 - IMMOBILISATIONS EN COURS
_	235 - Part investissement  P.P.P.	_	23 - IMMOBILISATIONS EN COURS
_	237 - Avances versées sur commandes d'immobilisations incorporelles	_	23 - IMMOBILISATIONS EN COURS
_	238 - Avances versées sur commandes d'immobilisations corporelles	_	23 - IMMOBILISATIONS EN COURS
_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION	_	2 - COMPTES D'IMMOBILISATIONS
_	241 - Immobilisations mises en concession ou en affermage	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	242 - Immobilisations mises à disposition dans le cadre du transfert de compétences	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	2421 - de la région (enseignement)	_	242 - Immobilisations mises à disposition dans le cadre du transfert de compétences
_	2422 - du département (enseignement)	_	242 - Immobilisations mises à disposition dans le cadre du transfert de compétences
_	2423 - d'établissements publics de coopération intercommunale	_	242 - Immobilisations mises à disposition dans le cadre du transfert de compétences
_	2424 - des services départementaux d'incendie et de secours	_	242 - Immobilisations mises à disposition dans le cadre du transfert de compétences
_	243 - Immobilisations mises en affectation à une régie dotée de la personnalité morale et de l'autonomie financière	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	244 - Immobilisations mises en affectation à un centre communal d'action sociale	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	245 - Immobilisations mises en affectation à une caisse des écoles	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	246 - Immobilisations mises en affectation à un établissement public de coopération intercommunale	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	248 - Autres immobilisations mises en affectation	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	249 - Droits du remettant	_	24 - IMMOBILISATIONS AFFECTEES, CONCÉDÉES, AFFERMÉES OU MISES À DISPOSITION
_	2491 - Mises en concession ou en affermage	_	249 - Droits du remettant
_	2492 - Mises à disposition dans le cadre du transfert de compétences	_	249 - Droits du remettant
_	2493 - Mises en affectation à une régie dotée de la personnalité morale et de l'autonomie financière 	_	249 - Droits du remettant
_	2494 - Mises en affectation à un centre communal d'action sociale	_	249 - Droits du remettant
_	2495 - Mises en affectation à une caisse des écoles	_	249 - Droits du remettant
_	2496 - Mises en affectation à un établissement public de coopération intercommunale	_	249 - Droits du remettant
_	2498 - Autres mises en affectation	_	249 - Droits du remettant
_	26 - PARTICIPATIONS ET CRÉANCES RATTACHÉES À DES PARTICIPATIONS	_	2 - COMPTES D'IMMOBILISATIONS
_	261 - Titres de participation	_	26 - PARTICIPATIONS ET CRÉANCES RATTACHÉES À DES PARTICIPATIONS
_	266 - Autres formes de participation	_	26 - PARTICIPATIONS ET CRÉANCES RATTACHÉES À DES PARTICIPATIONS
_	269 - Versements restant à effectuer sur titres de participation non libérés	_	26 - PARTICIPATIONS ET CRÉANCES RATTACHÉES À DES PARTICIPATIONS
_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES	_	2 - COMPTES D'IMMOBILISATIONS
_	271 - Titres immobilisés (droits de propriété)	_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES
_	272 - Titres immobilisés (droits de créance)	_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES
_	273 - Comptes de placements (long terme)	_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES
_	2731 - Comptes de placements rémunérés	_	273 - Comptes de placements (long terme)
_	2732 - Fonds d'épargne forestière	_	273 - Comptes de placements (long terme)
_	274 - Prêts	_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES
_	275 - Dépôts et cautionnements versés	_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES
_	276 - Autres créances immobilisées	_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES
_	2761 - Créances pour avances en garantie d'emprunt	_	276 - Autres créances immobilisées
_	2762 - Créances sur transfert de droits à déduction de T.V.A.	_	276 - Autres créances immobilisées
_	2763 - Créances sur des collectivités et établissements publics	_	276 - Autres créances immobilisées
_	27631 - État et établissements nationaux	_	2763 - Créances sur des collectivités et établissements publics
_	27632 - Régions	_	2763 - Créances sur des collectivités et établissements publics
_	27633 - Départements	_	2763 - Créances sur des collectivités et établissements publics
_	27634 - Communes	_	2763 - Créances sur des collectivités et établissements publics
_	276341 - Communes membres du GFP	_	27634 - Communes
_	276348 - Autres communes	_	27634 - Communes
_	27635 - Groupements de collectivités	_	2763 - Créances sur des collectivités et établissements publics
_	276351 - GFP de rattachement	_	27635 - Groupements de collectivités
_	276358 - Autres groupements	_	27635 - Groupements de collectivités
_	27636 - C.C.A.S. et caisse des écoles	_	2763 - Créances sur des collectivités et établissements publics
_	27638 - Autres établissements publics	_	2763 - Créances sur des collectivités et établissements publics
_	2764 - Créances sur des particuliers et autres personnes de droit privé	_	276 - Autres créances immobilisées
_	2766 - Créances pour locations-acquisitions 	_	276 - Autres créances immobilisées
_	2768 - Intérêts courus	_	276 - Autres créances immobilisées
_	27682 - Intérêts courus sur titres immobilisés (droits de créance)	_	2768 - Intérêts courus
_	27684 - Intérêts courus sur prêts	_	2768 - Intérêts courus
_	27688 - Intérêts courus sur créances diverses	_	2768 - Intérêts courus
_	279 - Versements restant à effectuer sur titres immobilisés non libérés	_	27 - AUTRES IMMOBILISATIONS FINANCIÈRES
_	28 - AMORTISSEMENTS DES IMMOBILISATIONS	_	2 - COMPTES D'IMMOBILISATIONS
_	280 - Amortissements des immobilisations incorporelles	_	28 - AMORTISSEMENTS DES IMMOBILISATIONS
_	2802 - Frais liés à la réalisation des documents d'urbanisme et à la numérisation du cadastre	_	280 - Amortissements des immobilisations incorporelles
_	2803 - Frais d'études, de recherche et de développement et frais d'insertion	_	280 - Amortissements des immobilisations incorporelles
_	28031 - Frais d'études	_	2803 - Frais d'études, de recherche et de développement et frais d'insertion
_	28032 - Frais de recherche et de développement	_	2803 - Frais d'études, de recherche et de développement et frais d'insertion
_	28033 - Frais d'insertion	_	2803 - Frais d'études, de recherche et de développement et frais d'insertion
_	2804 - Subventions d'équipement versées	_	280 - Amortissements des immobilisations incorporelles
_	28041 - Subventions d'équipement aux organismes publics	_	2804 - Subventions d'équipement versées
_	280411 - État 	_	28041 - Subventions d'équipement aux organismes publics
_	2804111 - Biens mobiliers, matériel et études	_	280411 - État 
_	2804112 - Bâtiments et installations	_	280411 - État 
_	2804113 - Projets d'infrastructures d'intérêt national	_	280411 - État 
_	280412 - Régions	_	28041 - Subventions d'équipement aux organismes publics
_	2804121 - Biens mobiliers, matériel et études	_	280412 - Régions
_	2804122 - Bâtiments et installations	_	280412 - Régions
_	2804123 - Projets d'infrastructures d'intérêt national	_	280412 - Régions
_	280413 - Départements	_	28041 - Subventions d'équipement aux organismes publics
_	2804131 - Biens mobiliers, matériel et études	_	280413 - Départements
_	2804132 - Bâtiments et installations	_	280413 - Départements
_	2804133 - Projets d'infrastructures d'intérêt national	_	280413 - Départements
_	280414 - Communes	_	28041 - Subventions d'équipement aux organismes publics
_	2804141 - Communes membres du GFP	_	280414 - Communes
_	28041411 - Biens mobiliers, matériel et études	_	2804141 - Communes membres du GFP
_	28041412 - Bâtiments et installations	_	2804141 - Communes membres du GFP
_	280414113 - Projets d'infrastructures d'intérêt national	_	28041411 - Biens mobiliers, matériel et études
_	2804148 - Autres communes	_	280414 - Communes
_	28041481 - Biens mobiliers, matériel et études	_	2804148 - Autres communes
_	28041482 - Bâtiments et installations	_	2804148 - Autres communes
_	28041483 - Projets d'infrastructures d'intérêt national	_	2804148 - Autres communes
_	280415 - Groupements de collectivités	_	28041 - Subventions d'équipement aux organismes publics
_	2804151 - GFP de rattachement	_	280415 - Groupements de collectivités
_	28041511 - Biens mobiliers, matériel et études	_	2804151 - GFP de rattachement
_	28041512 - Bâtiments et installations	_	2804151 - GFP de rattachement
_	28041513 - Projets d'infrastructures d'intérêt national	_	2804151 - GFP de rattachement
_	2804158 - Autres groupements	_	280415 - Groupements de collectivités
_	28041581 - Biens mobiliers, matériel et études	_	2804158 - Autres groupements
_	28041582 - Bâtiments et installations	_	2804158 - Autres groupements
_	28041583 - Projets d'infrastructures d'intérêt national	_	2804158 - Autres groupements
_	280416 - Établissements et services rattachés	_	28041 - Subventions d'équipement aux organismes publics
_	2804161 - Caisse des écoles	_	280416 - Établissements et services rattachés
_	28041611 - Biens mobiliers, matériel et études	_	2804161 - Caisse des écoles
_	28041612 - Bâtiments et installations	_	2804161 - Caisse des écoles
_	28041613 - Projets d'infrastructures d'intérêt national	_	2804161 - Caisse des écoles
_	2804162 - CCAS	_	280416 - Établissements et services rattachés
_	28041621 - Biens mobiliers, matériel et études	_	2804162 - CCAS
_	28041622 - Bâtiments et installations	_	2804162 - CCAS
_	28041623 - Projets d'infrastructures d'intérêt national	_	2804162 - CCAS
_	2804163 - A caractère administratif	_	280416 - Établissements et services rattachés
_	28041631 - Biens mobiliers, matériel et études	_	2804163 - A caractère administratif
_	28041632 - Bâtiments et installations	_	2804163 - A caractère administratif
_	28041633 - Projets d'infrastructures d'intérêt national	_	2804163 - A caractère administratif
_	2804164 - A caractère industriel et commercial	_	280416 - Établissements et services rattachés
_	28041641 - Biens mobiliers, matériel et études	_	2804164 - A caractère industriel et commercial
_	28041642 - Bâtiments et installations	_	2804164 - A caractère industriel et commercial
_	28041643 - Projets d'infrastructures d'intérêt national	_	2804164 - A caractère industriel et commercial
_	280417 - Autres établissements publics locaux	_	28041 - Subventions d'équipement aux organismes publics
_	2804171 - Biens mobiliers, matériel et études	_	280417 - Autres établissements publics locaux
_	2804172 - Bâtiments et installations	_	280417 - Autres établissements publics locaux
_	2804173 - Projets d'infrastructures d'intérêt national	_	280417 - Autres établissements publics locaux
_	280418 - Autres organismes publics	_	28041 - Subventions d'équipement aux organismes publics
_	2804181 - Biens mobiliers, matériel et études	_	280418 - Autres organismes publics
_	2804182 - Bâtiments et installations	_	280418 - Autres organismes publics
_	2804183 - Projets d'infrastructures d'intérêt national	_	280418 - Autres organismes publics
_	28042 - Subventions d'équipement aux personnes de droit privé	_	2804 - Subventions d'équipement versées
_	280421 - Biens mobiliers, matériel et études	_	28042 - Subventions d'équipement aux personnes de droit privé
_	280422 - Bâtiments et installations	_	28042 - Subventions d'équipement aux personnes de droit privé
_	280423 - Projets d'infrastructures d'intérêt national	_	28042 - Subventions d'équipement aux personnes de droit privé
_	28044 - Subventions d'équipement en nature	_	2804 - Subventions d'équipement versées
_	280441 - Organismes publics	_	28044 - Subventions d'équipement en nature
_	2804411 - Biens mobiliers, matériel et études	_	280441 - Organismes publics
_	2804412 - Bâtiments et installations	_	280441 - Organismes publics
_	2804413 - Projets d'infrastructures d'intérêt national	_	280441 - Organismes publics
_	280442 - Personnes de droit privé	_	28044 - Subventions d'équipement en nature
_	2804421 - Biens mobiliers, matériel et études	_	280442 - Personnes de droit privé
_	2804422 - Bâtiments et installations	_	280442 - Personnes de droit privé
_	2804423 - Projets d'infrastructures d'intérêt national 	_	280442 - Personnes de droit privé
_	2805 - Concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires	_	280 - Amortissements des immobilisations incorporelles
_	28051 - Concessions et droits similaires	_	2805 - Concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires
_	2808 - Autres immobilisations incorporelles	_	280 - Amortissements des immobilisations incorporelles
_	28087 - Immobilisations incorporelles reçues au titre d'une mise à disposition	_	2808 - Autres immobilisations incorporelles
_	28088 - Autres immobilisations incorporelles	_	2808 - Autres immobilisations incorporelles
_	281 - Amortissements des immobilisations corporelles	_	28 - AMORTISSEMENTS DES IMMOBILISATIONS
_	2811 - Terrains de gisement	_	281 - Amortissements des immobilisations corporelles
_	2812 - Agencements et aménagements de terrains	_	281 - Amortissements des immobilisations corporelles
_	28121 - Plantations d'arbres et d'arbustes	_	2812 - Agencements et aménagements de terrains
_	28128 - Autres agencements et aménagements de terrains	_	2812 - Agencements et aménagements de terrains
_	2813 - Constructions	_	281 - Amortissements des immobilisations corporelles
_	28131 - Bâtiments publics	_	2813 - Constructions
_	281311 - Hôtel de ville	_	28131 - Bâtiments publics
_	281312 - Bâtiments scolaires	_	28131 - Bâtiments publics
_	281316 - Équipements du cimetière	_	28131 - Bâtiments publics
_	281318 - Autres bâtiments publics	_	28131 - Bâtiments publics
_	28132 - Immeubles de rapport	_	2813 - Constructions
_	28135 - Installations générales, agencements, aménagements des constructions	_	2813 - Constructions
_	28138 - Autres constructions	_	2813 - Constructions
_	2814 - Constructions sur sol d'autrui	_	281 - Amortissements des immobilisations corporelles
_	28141 - Bâtiments publics	_	2814 - Constructions sur sol d'autrui
_	28142 - Immeubles de rapport	_	2814 - Constructions sur sol d'autrui
_	28143 - Droit de superficie	_	2814 - Constructions sur sol d'autrui
_	28145 - Installations générales, agencements et aménagements	_	2814 - Constructions sur sol d'autrui
_	28148 - Autres constructions sur sol d'autrui	_	2814 - Constructions sur sol d'autrui
_	2815 - Installations, matériel et outillage techniques	_	281 - Amortissements des immobilisations corporelles
_	28151 - Réseaux de voirie	_	2815 - Installations, matériel et outillage techniques
_	28152 - Installations de voirie	_	2815 - Installations, matériel et outillage techniques
_	28153 - Réseaux divers	_	2815 - Installations, matériel et outillage techniques
_	281531 - Réseaux d'adduction d'eau	_	28153 - Réseaux divers
_	281532 - Réseaux d'assainissement	_	28153 - Réseaux divers
_	281533 - Réseaux câblés	_	28153 - Réseaux divers
_	281534 - Réseaux d'électrification	_	28153 - Réseaux divers
_	281538 - Autres réseaux	_	28153 - Réseaux divers
_	28156 - Matériel et outillage d'incendie et de défense civile	_	2815 - Installations, matériel et outillage techniques
_	281561 - Matériel roulant	_	28156 - Matériel et outillage d'incendie et de défense civile
_	281568 - Autre matériel et outillage d'incendie et de défense civile 	_	28156 - Matériel et outillage d'incendie et de défense civile
_	28157 - Matériel et outillage de voirie	_	2815 - Installations, matériel et outillage techniques
_	281571 - Matériel roulant	_	28157 - Matériel et outillage de voirie
_	281578 - Autre matériel et outillage de voirie	_	28157 - Matériel et outillage de voirie
_	28158 - Autres installations, matériel et outillage techniques	_	2815 - Installations, matériel et outillage techniques
_	2817 - Immobilisations corporelles reçues au titre d'une mise à disposition	_	281 - Amortissements des immobilisations corporelles
_	28171 - Terrains	_	2817 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	28172 - Agencements et aménagements de terrains	_	2817 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	281721 - Plantations d'arbres et d'arbustes	_	28172 - Agencements et aménagements de terrains
_	281728 - Autres agencements et aménagements	_	28172 - Agencements et aménagements de terrains
_	28173 - Constructions	_	2817 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	281731 - Bâtiments publics	_	28173 - Constructions
_	281732 - Immeubles de rapport	_	28173 - Constructions
_	281735 - Installations générales, agencements, aménagements des constructions	_	28173 - Constructions
_	281738 - Autres constructions	_	28173 - Constructions
_	28174 - Constructions sur sol d'autrui	_	2817 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	281741 - Constructions sur le sol d'autrui - Bâtiments publics	_	28174 - Constructions sur sol d'autrui
_	281742 - Constructions sur le sol d'autrui - Immeubles de rapport	_	28174 - Constructions sur sol d'autrui
_	281745 - Constructions sur le sol d'autrui - Installations générales, agencements, aménagements	_	28174 - Constructions sur sol d'autrui
_	281748 - Constructions sur le sol d'autrui - Autres constructions	_	28174 - Constructions sur sol d'autrui
_	28175 - Installations, matériel et outillage techniques	_	2817 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	281751 - Réseaux de voirie	_	28175 - Installations, matériel et outillage techniques
_	281752 - Installations de voirie	_	28175 - Installations, matériel et outillage techniques
_	281753 - Réseaux divers	_	28175 - Installations, matériel et outillage techniques
_	2817533 - Réseaux câblés	_	281753 - Réseaux divers
_	2817534 - Réseaux d'électrification	_	281753 - Réseaux divers
_	2817538 - Autres réseaux	_	281753 - Réseaux divers
_	281757 - Matériel et outillage de voirie	_	28175 - Installations, matériel et outillage techniques
_	281758 - Autres installations, matériel et outillage techniques	_	28175 - Installations, matériel et outillage techniques
_	28178 - Autres immobilisations corporelles reçues au titre d'une lise à disposition	_	2817 - Immobilisations corporelles reçues au titre d'une mise à disposition
_	281782 - Matériel de transport	_	28178 - Autres immobilisations corporelles reçues au titre d'une lise à disposition
_	281783 - Matériel de bureau et matériel informatique	_	28178 - Autres immobilisations corporelles reçues au titre d'une lise à disposition
_	281784 - Mobilier	_	28178 - Autres immobilisations corporelles reçues au titre d'une lise à disposition
_	281785 - Cheptel	_	28178 - Autres immobilisations corporelles reçues au titre d'une lise à disposition
_	281788 - Autres immobilisations corporelles reçues au titre d'une mise à disposition 	_	28178 - Autres immobilisations corporelles reçues au titre d'une lise à disposition
_	2818 - Autres immobilisations corporelles	_	281 - Amortissements des immobilisations corporelles
_	28181 - Installations générales, agencements et aménagements divers	_	2818 - Autres immobilisations corporelles
_	28182 - Matériel de transport	_	2818 - Autres immobilisations corporelles
_	28183 - Matériel de bureau et matériel informatique	_	2818 - Autres immobilisations corporelles
_	28184 - Mobilier	_	2818 - Autres immobilisations corporelles
_	28185 - Cheptel	_	2818 - Autres immobilisations corporelles
_	28188 - Autres immobilisations corporelles	_	2818 - Autres immobilisations corporelles
_	282 - Amortissements des immobilisations reçues en affectation	_	28 - AMORTISSEMENTS DES IMMOBILISATIONS
_	2821 - Terrains de gisement	_	282 - Amortissements des immobilisations reçues en affectation
_	2822 - Agencements et aménagements de terrains	_	282 - Amortissements des immobilisations reçues en affectation
_	28221 - Plantations d'arbres et d'arbustes	_	2822 - Agencements et aménagements de terrains
_	28228 - Autres agencements et aménagements de terrains	_	2822 - Agencements et aménagements de terrains
_	2823 - Constructions	_	282 - Amortissements des immobilisations reçues en affectation
_	28231 - Bâtiments publics	_	2823 - Constructions
_	28232 - Immeubles de rapport	_	2823 - Constructions
_	28235 - Installations générales, agencements et aménagements des constructions	_	2823 - Constructions
_	28238 - Autres constructions	_	2823 - Constructions
_	2824 - Constructions sur sol d'autrui	_	282 - Amortissements des immobilisations reçues en affectation
_	28241 - Bâtiments publics	_	2824 - Constructions sur sol d'autrui
_	28242 - Immeubles de rapport	_	2824 - Constructions sur sol d'autrui
_	28245 - Installations générales, agencements, aménagements	_	2824 - Constructions sur sol d'autrui
_	28248 - Autres constructions	_	2824 - Constructions sur sol d'autrui
_	2825 - Installations, matériel et outillage techniques	_	282 - Amortissements des immobilisations reçues en affectation
_	28253 - Réseaux divers	_	2825 - Installations, matériel et outillage techniques
_	282533 - Réseaux câblés	_	28253 - Réseaux divers
_	282534 - Réseaux d'électrification	_	28253 - Réseaux divers
_	282538 - Autres réseaux	_	28253 - Réseaux divers
_	28256 - Matériel et outillage d'incendie et de défense civile	_	2825 - Installations, matériel et outillage techniques
_	28257 - Matériel et outillage de nettoiement	_	2825 - Installations, matériel et outillage techniques
_	28258 - Autres installations techniques, matériel et outillage industriel	_	2825 - Installations, matériel et outillage techniques
_	2828 - Autres immobilisations corporelles	_	282 - Amortissements des immobilisations reçues en affectation
_	28281 - Installations générales, agencements et aménagements divers	_	2828 - Autres immobilisations corporelles
_	28282 - Matériel de transport	_	2828 - Autres immobilisations corporelles
_	28283 - Matériel de bureau et matériel informatique	_	2828 - Autres immobilisations corporelles
_	28284 - Mobilier	_	2828 - Autres immobilisations corporelles
_	28285 - Cheptel	_	2828 - Autres immobilisations corporelles
_	28288 - Autres immobilisations corporelles reçues en affectation	_	2828 - Autres immobilisations corporelles
_	29 - PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS	_	2 - COMPTES D'IMMOBILISATIONS
_	290 - Provisions pour dépréciation des immobilisations incorporelles	_	29 - PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS
_	2905 - Marques, procédés, droits et valeurs similaires	_	290 - Provisions pour dépréciation des immobilisations incorporelles
_	29051 - Marques, procédés, droits et valeurs similaires (non budgétaires)	_	2905 - Marques, procédés, droits et valeurs similaires
_	29052 - Marques, procédés, droits et valeurs similaires (budgétaires)	_	2905 - Marques, procédés, droits et valeurs similaires
_	2908 - Autres immobilisations incorporelles	_	290 - Provisions pour dépréciation des immobilisations incorporelles
_	29081 - Autres immobilisations incorporelles (non budgétaires)	_	2908 - Autres immobilisations incorporelles
_	29082 - Autres immobilisations incorporelles (budgétaires)	_	2908 - Autres immobilisations incorporelles
_	291 - Provisions pour dépréciation des immobilisations corporelles	_	29 - PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS
_	2911 - Terrains (autres que terrains de gisement)	_	291 - Provisions pour dépréciation des immobilisations corporelles
_	29111 - Terrains - autres que terrains de gisement (non budgétaires)	_	2911 - Terrains (autres que terrains de gisement)
_	29112 - Terrains - autres que terrains de gisement (budgétaires)	_	2911 - Terrains (autres que terrains de gisement)
_	2913 - Constructions	_	291 - Provisions pour dépréciation des immobilisations corporelles
_	29131 - Constructions (non budgétaires)	_	2913 - Constructions
_	29132 - Constructions (budgétaires)	_	2913 - Constructions
_	2914 - Constructions sur sol d'autrui	_	291 - Provisions pour dépréciation des immobilisations corporelles
_	29141 - Constructions sur sol d'autrui (non budgétaires)	_	2914 - Constructions sur sol d'autrui
_	29142 - Constructions sur sol d'autrui (budgétaires)	_	2914 - Constructions sur sol d'autrui
_	293 - Provisions pour dépréciation des immobilisations en cours	_	29 - PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS
_	2931 - Immobilisations corporelles en cours	_	293 - Provisions pour dépréciation des immobilisations en cours
_	29311 - Immobilisations corporelles en cours (non budgétaires)	_	2931 - Immobilisations corporelles en cours
_	29312 - Immobilisations corporelles en cours (budgétaires)	_	2931 - Immobilisations corporelles en cours
_	2932 - Immobilisations incorporelles en cours	_	293 - Provisions pour dépréciation des immobilisations en cours
_	29321 - Immobilisations incorporelles en cours (non budgétaires)	_	2932 - Immobilisations incorporelles en cours
_	29322 - Immobilisations incorporelles en cours (budgétaires)	_	2932 - Immobilisations incorporelles en cours
_	296 - Provisions pour dépréciation des participations et créances rattachées à des participations	_	29 - PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS
_	2961 - Titres de participation	_	296 - Provisions pour dépréciation des participations et créances rattachées à des participations
_	29611 - Titres de participation (non budgétaires)	_	2961 - Titres de participation
_	29612 - Titres de participation (budgétaires)	_	2961 - Titres de participation
_	2966 - Autres formes de participation	_	296 - Provisions pour dépréciation des participations et créances rattachées à des participations
_	29661 - Autres formes de participation (non budgétaires)	_	2966 - Autres formes de participation
_	29662 - Autres formes de participation (budgétaires)	_	2966 - Autres formes de participation
_	297 - Provisions pour dépréciation des autres immobilisations financières	_	29 - PROVISIONS POUR DÉPRÉCIATION DES IMMOBILISATIONS
_	2971 - Titres immobilisés - Droits de propriété	_	297 - Provisions pour dépréciation des autres immobilisations financières
_	29711 - Titres immobilisés - Droits de propriété (non budgétaires)	_	2971 - Titres immobilisés - Droits de propriété
_	29712 - Titres immobilisés - Droits de propriété (budgétaires)	_	2971 - Titres immobilisés - Droits de propriété
_	2972 - Titres immobilisés - Droits de créance	_	297 - Provisions pour dépréciation des autres immobilisations financières
_	29721 - Titres immobilisés - Droits de créance (non budgétaires)	_	2972 - Titres immobilisés - Droits de créance
_	29722 - Titres immobilisés - Droits de créance (budgétaires)	_	2972 - Titres immobilisés - Droits de créance
_	2974 - Prêts	_	297 - Provisions pour dépréciation des autres immobilisations financières
